epoch,accuracy,loss,val_accuracy,val_loss
0,0.73391974,0.491681039,0.869791687,0.346989274
1,0.887850463,0.271173149,0.875,0.341095686
2,0.930731177,0.183596268,0.885416687,0.289328545
3,0.960417807,0.111462742,0.942708313,0.135843828
4,0.974711359,0.068610027,0.96875,0.09124779
5,0.986805916,0.044113018,0.963541687,0.093577236
6,0.993952692,0.021852851,0.973958313,0.085153699
7,0.992303491,0.023998573,0.973958313,0.082815714
8,0.998350739,0.011540258,0.96875,0.066830307
9,0.997801006,0.007885139,0.979166687,0.053719148
10,1,0.003938084,0.96875,0.098263592
11,1,0.002899456,0.973958313,0.095593207
12,1,0.001624158,0.963541687,0.099095486
13,1,0.001570475,0.984375,0.048108492
14,1,0.001190204,0.984375,0.055486891
